date,wilaya_code,Hypertension,Diabète_type_2,Obésité,Asthme,Cancer_du_poumon,Cancer_du_sein,Cancer_de_la_prostate,Maladie_cardiovasculaire
2015-01-01,1,53356,41115,39135,37300,25098,21721,20309,34150
2015-01-01,2,93063,66127,74393,61506,37637,30356,30220,67620
2015-01-01,3,92742,69500,69318,60910,38444,31475,29781,66258
2015-01-01,4,128010,97350,97881,92098,51270,40496,38235,84778
2015-01-01,5,138977,99770,99045,91400,55346,36070,38073,84798
2015-01-01,6,95228,71883,68781,65330,38178,31704,30183,61445
2015-01-01,7,133849,96940,93717,85439,53114,42829,38393,86474
2015-01-01,8,55813,39106,38745,36830,24031,22841,22648,34674
2015-01-01,9,130865,93887,96402,88049,51291,41220,40362,87604
2015-01-01,10,97390,65711,72859,64091,37721,31916,31006,64532
2015-01-01,11,52319,39328,41125,37296,24146,21466,21594,37092
2015-01-01,12,136363,103484,99527,85776,53635,40709,36341,91508
2015-01-01,13,92935,71179,69423,61845,38743,32769,29557,66465
2015-01-01,14,104624,73193,74302,63541,37047,31075,28604,62553
2015-01-01,15,96134,68420,70469,62068,36962,33915,30711,65599
2015-01-01,16,128782,100840,94558,85352,54634,38108,39971,85957
2015-01-01,17,134496,100469,95913,77419,50008,42448,38686,88717
2015-01-01,18,98101,69287,70992,62825,38739,33312,28517,65746
2015-01-01,19,131170,95790,98574,87472,53772,41219,37701,92992
2015-01-01,20,95235,71403,72294,64155,39344,33009,30201,64967
2015-01-01,21,96565,72436,67434,66375,38984,31586,29825,65777
2015-01-01,22,128048,97131,96776,87504,52555,37827,38195,94542
2015-01-01,23,134637,95009,98439,87147,55724,39836,37928,90436
2015-01-01,24,93641,71116,75837,66291,38536,33964,29905,61024
2015-01-01,25,129690,102906,101057,86247,54825,41769,40429,93135
2015-01-01,26,89590,70291,71013,60976,38548,32368,31830,63774
2015-01-01,27,99341,72387,78242,63935,39975,30557,28715,59301
2015-01-01,28,95869,72966,73330,59880,37973,29367,31207,63447
2015-01-01,29,91430,71765,69624,61172,36369,31002,30556,64308
2015-01-01,30,94273,72606,69332,59749,38748,33376,30839,70966
2015-01-01,31,128697,94079,94101,84148,55448,39988,37272,94196
2015-01-01,32,51066,36797,42114,34022,24341,21644,20926,36139
2015-01-01,33,51374,39173,39566,35731,25099,21602,20371,34879
2015-01-01,34,93784,68404,69615,62003,36803,32686,29360,68288
2015-01-01,35,48264,39364,39658,35081,24886,22202,21153,35829
